,지역본부,지역,명,주소,동,호,주택군,주택열람일정,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형, 임대보증금, 월임대료, 임대보증금, 월임대료
58,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 공릉로 73(묵동,시온스타빌) 시온스타빌 102동",102,202,중랑묵동(시온스타빌),열람불가(계약 전 주택 개방),52.3400,10.3540,62.6940,3,2층,Y,도시형생활주택,"  166,118,000 ","  180,140 ","  189,849,000 ","  199,920 "
59,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 동일로96가길 20(면목동,삼성빌) 1동 전체",,203,중랑면목동(삼성빌),열람불가(계약 전 주택 개방),55.1900,5.7300,60.9200,2,2층,Y,도시형생활주택,"  155,323,000 ","  169,910 ","  177,512,000 ","  188,880 "
60,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 동일로96가길 20(면목동,삼성빌) 1동 전체",,303,중랑면목동(삼성빌),열람불가(계약 전 주택 개방),55.1900,5.7300,60.9200,2,3층,Y,도시형생활주택,"  158,500,000 ","  172,630 ","  181,143,000 ","  191,970 "
61,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 망우로 500(망우동,다우하임 아파트) ",,402,중랑망우동(다우하임),열람불가(계약 전 주택 개방),56.5300,17.0400,73.5700,3,4층,Y,아파트,"  186,342,000 ","  207,070 ","  212,963,000 ","  230,920 "
62,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 망우로 500(망우동,다우하임 아파트) ",,802,중랑망우동(다우하임),열람불가(계약 전 주택 개방),56.5300,17.0400,73.5700,3,8층,Y,아파트,"  190,619,000 ","  203,060 ","  217,850,000 ","  226,320 "
63,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 봉우재로41길 6(상봉동,청운명가프라임) ",,504,중랑상봉동(청운명가프라임),열람불가(계약 전 주택 개방),29.0800,18.2700,47.3500,2,5층,Y,도시형생활주택,"  135,022,000 ","  153,570 ","  154,311,000 ","  171,660 "
64,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 봉우재로41길 6(상봉동,청운명가프라임) ",,505,중랑상봉동(청운명가프라임),열람불가(계약 전 주택 개방),29.0800,18.2700,47.3500,2,5층,Y,도시형생활주택,"  135,022,000 ","  153,570 ","  154,311,000 ","  171,660 "
65,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 봉우재로41길 6(상봉동,청운명가프라임) ",,1003,중랑상봉동(청운명가프라임),열람불가(계약 전 주택 개방),29.0800,18.2700,47.3500,2,10층,Y,도시형생활주택,"  136,244,000 ","  155,320 ","  155,707,000 ","  173,570 "
66,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 봉우재로41길 6(상봉동,청운명가프라임) ",,1103,중랑상봉동(청운명가프라임),열람불가(계약 전 주택 개방),29.0800,18.2700,47.3500,2,11층,Y,도시형생활주택,"  136,244,000 ","  155,320 ","  155,707,000 ","  173,570 "
67,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 사가정로 374(면목동,킴스타워) ",,601,중랑면목동(킴스타워),열람불가(계약 전 주택 개방),30.0400,11.2700,41.3100,2,6층,Y,도시형생활주택,"  116,141,000 ","  120,670 ","  132,733,000 ","  133,810 "
68,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 사가정로 374(면목동,킴스타워) ",,703,중랑면목동(킴스타워),열람불가(계약 전 주택 개방),32.2400,12.0900,44.3300,2,7층,Y,도시형생활주택,"  124,630,000 ","  148,180 ","  142,434,000 ","  164,870 "
69,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 사가정로 374(면목동,킴스타워) ",,1103,중랑면목동(킴스타워),열람불가(계약 전 주택 개방),32.2400,12.0900,44.3300,2,11층,Y,도시형생활주택,"  124,630,000 ","  148,480 ","  142,434,000 ","  165,170 "
70,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 상봉중앙로5나길 10(상봉동,시온아트빌) ",,406,중랑상봉동(시온아트빌),열람불가(계약 전 주택 개방),59.7300,8.7500,68.4800,3,4층,Y,다세대주택,"  183,284,000 ","  183,440 ","  209,468,000 ","  204,160 "
71,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 상봉중앙로5나길 10(상봉동,시온아트빌) ",,502,중랑상봉동(시온아트빌),열람불가(계약 전 주택 개방),53.1200,7.7800,60.9000,2,5층,Y,다세대주택,"  156,748,000 ","  181,040 ","  179,141,000 ","  202,040 "
72,서울지역본부,서울특별시,매입다가구(서울중랑구),서울특별시 중랑구 용마산로51길 42(면목동) 유진뜨레지움,,402,중랑면목동(유진뜨레지움),열람불가(계약 전 주택 개방),34.6000,13.8500,48.4500,2,4층,Y,아파트,"  192,931,000 ","  199,830 ","  220,492,000 ","  223,370 "
73,서울지역본부,서울특별시,매입다가구(서울중랑구),"서울특별시 중랑구 중랑천로18길 14(중화동,송학에버빌) ",,602,중랑중화동(송학에버빌),열람불가(계약 전 주택 개방),47.0400,10.2600,57.3000,3,6층,Y,다세대주택,"  152,428,000 ","  174,210 ","  174,204,000 ","  194,630 "
